index,metin,tfidf_skoru,word2vec_skoru
94411,mor elbise yumuşak kumaş ortam uygundur,1.0000000000000002,0.99999994
139077,mor elbise yumuşak kumaş ortam uygundur,1.0000000000000002,0.99999994
468348,mor elbise yumuşak kumaş ortam uygundur,1.0000000000000002,0.99999994
190224,mor elbise yumuşak kumaş ortam uygundur,1.0000000000000002,0.99999994
205938,mor elbise yumuşak kumaş ortam uygundur,1.0000000000000002,0.99999994
442375,mor elbise yumuşak kumaş ortam uygundur,1.0000000000000002,0.99999994
59970,mor elbise yumuşak kumaş ortam uygundur,1.0000000000000002,0.99999994
99233,mor elbise yumuşak kumaş ortam uygundur,1.0000000000000002,0.99999994
33152,mor elbise yumuşak kumaş ortam uygundur,1.0000000000000002,0.99999994
468314,mor elbise yumuşak kumaş ortam uygundur,1.0000000000000002,0.99999994
